epoch,banach_loss,betti_0_err,betti_1_err,betti_2_err,timestamp,hash
10,9.061127578053666e-13,nan,0.0,nan,1778028080.7026248,668240c43ea1c68e29fd90d300005a87c83a089f8cee52fee3de58329c4b1ffc
20,8.911284848123553e-16,nan,0.0,nan,1778028080.7036216,1916d16ca606fef18dceb01d7e7ac063f41dea836876979c3e527271dfbf1bc2
30,6.128660105880425e-16,nan,0.0,nan,1778028080.7046247,84a620ae2d419a38909ba6444153f22d895cdf43de24e9a4f9422e183661d84a
40,1.007072570069222e-15,nan,0.0,nan,1778028080.7056215,2256bc734476ee0188d265bd9203c1b5476dc8c1937e02b203636be2950d671d
50,1.8214137377581908e-16,nan,0.0,nan,1778028080.7066245,5edccbaad85465347d13a56976a209f0ada1aab897a89ff75aba5d4f16660167
60,3.621544322484884e-16,nan,0.0,nan,1778028080.7066245,d0f89e133083923f3e5757db5feca79870fcf1546b245d06a1995ae91751560b
70,4.2508955813626553e-16,nan,0.0,nan,1778028080.707625,6e062994d2c69fb0ea3e375938cba8ca3649a07c41f3b83dd4e50521e52078c2
80,2.1364591806197315e-16,nan,0.0,nan,1778028080.708625,4f16207891dc3f99c04f916b169d91acb387b51fd333c4af01d7a3b8c6f67a81
90,4.189276967574683e-16,nan,0.0,nan,1778028080.708625,cfc6704b1451b5eb2461d52cba700f05181088439a10824ce8a3e89b3feba634
100,2.1733260973369508e-16,nan,0.0,nan,1778028080.7096262,0d8087ab8fb3cf2e1550d86cb9f09169d93428221910c0bd5076b52c9b8b72f9
110,5.448247554736263e-16,nan,0.0,nan,1778028080.710624,94af21df6fb406e9a5e9c5714c37bd7f90e93542521c94cda4b3c5a2aef261c5
120,5.110820019705032e-16,nan,0.0,nan,1778028080.7116213,4e8b1c86489eff8cc9877760d2a44b66fa6257d5c3a1482ab0073087155859db
130,1.5265799943862904e-16,nan,0.0,nan,1778028080.7126226,1c91083b0cdff4d62acd5283e8350b054342bd40f4d488f85716de4b07244478
140,4.426231443960277e-16,nan,0.0,nan,1778028080.713626,cdb3bdd594ee24a290b08d496e75dce0982f8fc6094512f41585579ccdc7768b
150,5.282688133599124e-16,nan,0.0,nan,1778028080.714626,9452cd415d09a4774c1eb307d2b81987656d6888bf10e70a70a1f44e07954d71
160,6.748949862689641e-16,nan,0.0,nan,1778028080.7156262,e86d60a823e4ea72e9cf62dabd0dfd1a88333f4b9f4f976777d454945442bbb6
170,8.97990508134734e-16,nan,0.0,nan,1778028080.7166262,df60aac23feeda2c57f6889de6a93358df6eef19b2095581e7d576a4f991b787
180,3.1440239617876493e-16,nan,0.0,nan,1778028080.7176256,e27f09dff856815efcc3ee746d9b1bd171422cf21f2bf3cd08f559f0b9d43808
190,2.5524229710986925e-16,nan,0.0,nan,1778028080.7176256,e6be653429e18b19b9097c2596cadd8fc7a3ac704e7847f671d319a2d6d1dfc9
200,4.67333573396573e-16,nan,0.0,nan,1778028080.7186356,f59e751255e57c7114ed30bac334202be05bf9ede99b343e0500afca9f98c7f2
210,3.8615436253412536e-16,nan,0.0,nan,1778028080.7196395,dda2aa960141f4add39e693dba664adee231864feacfa44ae80c35659336bad3
220,9.919709674661863e-16,nan,0.0,nan,1778028080.7206392,173d353e4ab8d6b51297bb16fa5e6a03dc93ebb2e94615d3bee65ff5bbce7f0a
230,3.2701538948372064e-16,nan,0.0,nan,1778028080.7216394,d399238986fc5c731e70879d7bcf07aec71df31c4c781484d3ee87accf805251
240,3.464617435610322e-16,nan,0.0,nan,1778028080.7226393,81a31dc816d522574dd529f228c30f388b8219ca96e2fb7dca82d870c6aa3d4c
250,4.757603632732463e-16,nan,0.0,nan,1778028080.7226393,801775bd4ab2af4db1786ed2332ae611c325cd2e49ab66101d7fef303381c7fa
260,9.03576326148857e-16,nan,0.0,nan,1778028080.723638,9947c3ba5a9b4dfd645016d2f2b9270353c04a4f7234250b67e544d326cb67ca
270,9.061038121449217e-16,nan,0.0,nan,1778028080.724635,1c5a47823167954969dc9cec81c55dd85ff8f41177fea2ccc74ea45c13d6c2ff
280,4.959741042074133e-16,nan,0.0,nan,1778028080.7256384,968511bb14d30fd601874c44ef09a2c6a39d392b83435dea7a65b9024bf17765
290,5.211107832629248e-16,nan,0.0,nan,1778028080.727639,17431ee1929a76ef99f598a57f205f6a324392989e12ea1247b794392c3ffeca
300,8.406408673312394e-16,nan,0.0,nan,1778028080.7286375,247af7d87daaafc2d631aaa1279ad4adf65d1004b810d5ecc7faaf082152d7ad
310,4.375356951077776e-16,nan,0.0,nan,1778028080.7286375,ebc98b5062eb4b3b3ff7bf20afb72b8e0b53a294529271b46cd086efa438f673
320,8.989550859887808e-16,nan,0.0,nan,1778028080.729639,38cc29fc81ee9c68ce71c80caf35b6c617a3621f6cd9adfaf9d65c99701c4440
330,4.867624317614901e-16,nan,0.0,nan,1778028080.730635,6364175ce03cbf5eed4521f135fe8aa032e46067fd4f530fa6f8ce316db50f18
340,6.058768443995776e-16,nan,0.0,nan,1778028080.7316384,e2c128cfc296566299b281205e3731c1294f3287a83a69820cdc176a45a74145
350,2.3470425211905736e-16,nan,0.0,nan,1778028080.7316384,de14a48dc5cc8f1b6593140bc5843f8fa18eaba5a48921c35b15e77eb0778eb2
360,8.90154938936748e-16,nan,0.0,nan,1778028080.7331505,705104b4a6e22e4d12660f9ff6d62e14726caaf6cabf7422620ac49f4ffb1c31
370,5.52198386239442e-16,nan,0.0,nan,1778028080.7331505,2e8bec7c4729c5706a993b6dc08e0a6b005b90fed2e5a931f49d1782d844c07b
380,8.454081793754834e-16,nan,0.0,nan,1778028080.734162,753b7d61c7b2aa79c4cdd9d09dde46a80afb95cc4b3710cdbf92afa3f4794052
390,5.831974447653091e-16,nan,0.0,nan,1778028080.7351654,eff8b617c6a5731ed3d9607a9172c7876ffc8daea24e09fd1de9675042159cda
400,3.413537834289895e-16,nan,0.0,nan,1778028080.7351654,6182b420b39299714268a3ca73a6711d96c3b9afd59eb82be0b512d16c03a210
410,5.810471242486587e-16,nan,0.0,nan,1778028080.7361617,c2cb7e52d5eceaf01e818e803003e97df30373b90143eab67577328a50be5a97
420,5.977537216390317e-16,nan,0.0,nan,1778028080.7371652,3d9d909ccceeeb391fb6a780404b426472d8f0cbb8360a029208a3d569b1358c
430,2.806611450978446e-16,nan,0.0,nan,1778028080.7381656,81153b37e2c82697c4fe0c9b9951204499a23fe8a8bd548fb4a09cc9882f75cf
440,4.091630760354216e-16,nan,0.0,nan,1778028080.7391615,13a1116f78f9f4fe5423470449c8cbe1efb75fa3196bec9a1364d81b92778789
450,3.7451011243900564e-16,nan,0.0,nan,1778028080.7391615,88e2d8244e113d7281250f354af54a4935760eb81658c2a8d2c59f0957e00550
460,3.9722027727908357e-16,nan,0.0,nan,1778028080.7401614,f100848070066b2a74296e98b58c22fc232a0523193c2e907e8e00d312cf17cc
470,9.700816127606417e-16,nan,0.0,nan,1778028080.7417984,a48552a2b926bf877adf1310c1ee26d02c2c385bc04ace5bf02ecd073443963a
480,3.729621620272063e-16,nan,0.0,nan,1778028080.742813,ea7bd0477568f651ced723d7da821e4c16e0654aed17b00f04d2d980c3b62868
490,5.240601815674128e-16,nan,0.0,nan,1778028080.743813,b6888152f8c822dd957386955bf7f7616b85a799615afb656fb7c74a027c9727
500,7.201765534530849e-16,nan,0.0,nan,1778028080.743813,dd1c98ab74e90fd96f6630125bbf4c0b9855cbc2a6ca7bef48e83ead2efed9c2
510,3.391553377384881e-16,nan,0.0,nan,1778028080.743813,ab3c36a92baa722c41424e6e55e2b99e7deec025c0fe4177b6d58d65b7cc50c7
520,1.0672596910748736e-15,nan,0.0,nan,1778028080.7453253,b5b42382eb19a317c93d9f4d7fdfa5f4a7c763caa09f0625452f519a1caf331e
530,4.3333413215361613e-16,nan,0.0,nan,1778028080.746338,e132651a625a3ebce01ec1c5b791bfe6b164f7cdb5a91b9e71f7305c85e236dc
540,2.359230755268779e-16,nan,0.0,nan,1778028080.7473416,7966439db2e3be51c2894ced96b1542da19c7d6e1b26c332ebbcbd563bdf42e5
550,1.2829276368901908e-15,nan,0.0,nan,1778028080.7473416,fbc6406344b903ae4cf61a35d17aa30e045843c492e1c10309b3543506a963b6
560,7.122431404275652e-16,nan,0.0,nan,1778028080.7483416,b0a23f00445a5779ef237eac070050a6d14bc18d8e97107f3c18d3878f10105b
570,3.118661364545419e-16,nan,0.0,nan,1778028080.749351,ea229b5e635f92b8006838638452fd6c8fd1784a504578e9d8431773db8b2876
580,2.391717818485495e-16,nan,0.0,nan,1778028080.7503538,51bfbcdce3bc6dfd82b98b3cd77d3768abce3d05e97ed56b8aeeba519421e655
590,4.712329195275577e-16,nan,0.0,nan,1778028080.7503538,ce7d084dab6f5c989008e00bd41ea3e62c468892ccc6566dc2f0391d960ed125
600,4.046103106497173e-16,nan,0.0,nan,1778028080.7513506,d0153d294058a439c5e312ff8babdf05765318cb09cb05bb7fd638de0c2d00ba
610,1.846356090264271e-16,nan,0.0,nan,1778028080.752354,26a24647a3e3bf79e271bfd126dbe9d46d64f0515b439512f447303798b9283e
620,4.2841703217504577e-16,nan,0.0,nan,1778028080.752354,76e078d12e4a144c45ab65f75b9c41baf40ecbfb870d9dd79b7fcccc0e2d9008
630,8.745524681947889e-16,nan,0.0,nan,1778028080.7533495,cd44006600ec65664c8d04758d548810b45e704173d3ea6b553756fb82d7762d
640,9.972723146115739e-16,nan,0.0,nan,1778028080.754354,ef6e15114943a238f99097303ff3b72251507f3ef5789f8acb4e92452712cf1d
650,5.082476366495893e-16,nan,0.0,nan,1778028080.754354,355db8f9438d60f689718126ef3b379cdbd7e3791fdffbb13e375a311dd913a5
660,7.585007936724713e-16,nan,0.0,nan,1778028080.7553504,5a573da4f2ed19997186fe83a24b2ad5ca0e7d3f719e8006a79d7c6bff409b71
670,3.0821614065938034e-16,nan,0.0,nan,1778028080.7563503,8e4caa497a430d9f9dc36d4064583c56a31a561e06658acc266f0c46072be71e
680,3.39084770756692e-16,nan,0.0,nan,1778028080.7563503,e8d4320ae544350aeb48199ea1cd678b2f3ca6039d5db13b4988da7b74b6418e
690,4.947582316660891e-16,nan,0.0,nan,1778028080.7573545,a87e54c71489a99013b54e26c87da0483fc0e14c3299f909f5a2602633587cee
700,3.308186424802923e-16,nan,0.0,nan,1778028080.7583504,43e13bad59acf5be430ee3c0079359e97efbb19e7a3b6378051251b47aadc4e8
710,8.204657197346261e-16,nan,0.0,nan,1778028080.75935,1b405c5baf2c3efe40ca2b98e8bc2abadb2010763b823c46fc0b56a49f18bbae
720,9.80058177813419e-16,nan,0.0,nan,1778028080.7603538,11322d8c6b55c63acdb66d67316f14dca14c6cc794f4ecce628c6cd41d80b728
730,7.590085353758278e-16,nan,0.0,nan,1778028080.7603538,0534c9be426b7f8ee427e3beff33f0116f0cf21bdcbb8330bdc6ca8ee2a47a29
740,5.174499761815129e-16,nan,0.0,nan,1778028080.7613504,391b5dedcb15f1b3d83b9231366a35ebfde11b9a98704719b3b53ca069af1092
750,6.294155823191677e-16,nan,0.0,nan,1778028080.762354,65dd1a67c8cb8944a0eb94f1c8ab54c9389fc19c5bf9b4580d6d9da5296a2e00
760,7.295086298625832e-16,nan,0.0,nan,1778028080.762354,cf6f482d2136552efa954876cc6a354eb624768c1bc2358f17d4cebe3db474d7
770,2.979693026617635e-16,nan,0.0,nan,1778028080.762354,89e4dce38479163a5d9371e00392eeecf6fcb47f25a441af9dd9d22c474c40e4
780,4.022765569691698e-16,nan,0.0,nan,1778028080.7638612,9ecfad77bd5d702f793e36c747c7c309251a56388b39b8060188722a5820a996
790,1.3827011016719575e-16,nan,0.0,nan,1778028080.7648704,2753b33c05f21115de737402a3c2d773f85a19a1ba0a91b3cb05458cced72879
800,4.0775265929290067e-16,nan,0.0,nan,1778028080.7648704,9bea4770e9ca87914d5075edf05851e6694c3958d2af4029a20ba12ad5186978
810,4.357753396539117e-16,nan,0.0,nan,1778028080.7658699,1a15e4756f9749ef7e6ae5bbad8a83c80abb845a984a0c4275a2d638ce47ceaf
820,8.878538002930237e-16,nan,0.0,nan,1778028080.7668705,39fdf970ce3b7611aa2758613f6194c5280a1b3a14e193d49ee11e96414749b0
830,2.850883768989582e-16,nan,0.0,nan,1778028080.7678742,6daf42a5a595e70a0b083d75349f5d8ae9d744f908ab09726aa09543b6c47c1b
840,5.437652314109912e-16,nan,0.0,nan,1778028080.7688744,60502244e85faf2cd37aeefff1ac4a45aa1a6f8d79b8478d6a83d05cfe24d7cf
850,3.6222138744412695e-16,nan,0.0,nan,1778028080.7688744,e48e68a4cf03d4acc1e55d2172dd3fbf8fe86d8a6b4b358cfa109e8550be1e59
860,3.775811559013219e-16,nan,0.0,nan,1778028080.7698703,d3e60b3619bb3429a258e41f58d87581aa32a1a24963aad20d356d906d0596fa
870,4.419154970095625e-16,nan,0.0,nan,1778028080.770876,210370a79dfc383d86d78a469c2abea7724488374811a1b5ee5a863bc373493a
880,3.1062757420892454e-16,nan,0.0,nan,1778028080.771876,186d95b7307307bc97f6ca4530f75f59d20845f940b07eca0e2ef4af089aeb4a
890,3.7681553697097286e-16,nan,0.0,nan,1778028080.772875,75ae6c1899e90a057e137819c3c54e775edbaf18c2df9ec6cbbed4f0133a45ec
900,9.23917544645395e-16,nan,0.0,nan,1778028080.772875,4b9da27f2681b523cc1e7f61dc8daf48538ad7436b5ad09fbf2acf8cb5b87843
910,3.0468037488834604e-16,nan,0.0,nan,1778028080.7738707,4ce1b155126181aada7bab0a194b6542f6cf794197f3a93ad822476ef7f392ba
920,1.5265799943862904e-16,nan,0.0,nan,1778028080.7748706,b46ce5bef4d91c10befcee70f6256aba5b747a1ecc440349b102b584dc33e714
930,4.426231443960277e-16,nan,0.0,nan,1778028080.7758734,f994d889468cc224fde8b755bec1652088bf6ad9e74ac4de5ff452d3c636a65a
940,5.282688133599124e-16,nan,0.0,nan,1778028080.7768695,ee33c879481090bfe525b4ae10ee9fdc75d5e5628de49c1d728704625673bfa2
950,6.748949862689641e-16,nan,0.0,nan,1778028080.7778728,6ce82154cd5a9eec4b5436083a3b8f2e06ff128d214ac0cc783a70144319af32
960,8.97990508134734e-16,nan,0.0,nan,1778028080.7788815,837501b04908b8f0e84c17149518c0995c85e62efd271d31f80825511f97425d
970,3.1440239617876493e-16,nan,0.0,nan,1778028080.780885,66413deb7bc7e55df805d60c8ef681f707747608d640ca4e1f2777158cf07420
980,2.5524229710986925e-16,nan,0.0,nan,1778028080.7818816,0d4a7e7278d9518f1d81ffbf3427f59124b9f6d5c39bc7419963446b2c3060c6
990,4.67333573396573e-16,nan,0.0,nan,1778028080.7828875,b16c8f1215ca2f6330417ca346af6585ae5f57e83aebecb4e8def2210016d415
1000,3.8615436253412536e-16,nan,0.0,nan,1778028080.7838817,1aac33dffa5d08f24b42956deaa84e8de0f8518a88d0a4075ed361650d8c78fa
1010,9.919709674661863e-16,nan,0.0,nan,1778028080.7858815,15811a3544e6b367f268b8710e068741fc2aca4cbf94d3666fae34672b55e132
1020,3.2701538948372064e-16,nan,0.0,nan,1778028080.7868814,17b15ad50e543ceddaa48b05d6b3837aa7e1064fa3c3821ab154b5a46a1732b5
1030,3.464617435610322e-16,nan,0.0,nan,1778028080.7878811,426120e0b42c6c76ad7d61612be56e1b42428bbf36c968629253db97af1ce67d
1040,4.757603632732463e-16,nan,0.0,nan,1778028080.7888854,0587adde1dd57e195bf8656275bbeb9f4222683b42333e9442756caa73171f77
1050,9.03576326148857e-16,nan,0.0,nan,1778028080.7898855,f076dadcae67baf9e47f88c3889cb4fa4a3d3ace1af523194f28840ffa86eb75
1060,9.061038121449217e-16,nan,0.0,nan,1778028080.7908852,19745d867629853245e00fa3748d7629b5af4bcb4c4b95cf5c0e21ef58853891
1070,4.959741042074133e-16,nan,0.0,nan,1778028080.7918813,f7092539d16f37b809696c5cc2b0fb6cb84ef651738e0f3d03842099b9a723f2
1080,5.211107832629248e-16,nan,0.0,nan,1778028080.7918813,4cc657f6a9bb39aa465532a6fdee0d3ab0c396bb334feb8e809e8226c2bc3bed
1090,8.406408673312394e-16,nan,0.0,nan,1778028080.793392,59adbc1b6b1d6bd7c414cb1616aa5120249e00b1becfb2cba877ef80e30c16e3
1100,4.375356951077776e-16,nan,0.0,nan,1778028080.793392,bf11f7eb65d1dccc941fe28345b8a07f0145c9a4a6c52fe175135100aeaeba02
1110,8.989550859887808e-16,nan,0.0,nan,1778028080.7944064,b327e93bfa61673ba92b33c54331b2419b0416b34195e8270be0ba046328731a
1120,4.867624317614901e-16,nan,0.0,nan,1778028080.7954025,1105135f032849cdbed7375d49714b89396290a3448e53b76bde42cdefdcbe35
1130,6.058768443995776e-16,nan,0.0,nan,1778028080.7964063,d2d93dfce743483ee173188632f80e875a46ba8ff0845ad84c44f969f2492e42
1140,2.3470425211905736e-16,nan,0.0,nan,1778028080.7964063,5146bb968572aac977684166ec4dba461df38bd568554b45bb8454576c310d40
1150,8.90154938936748e-16,nan,0.0,nan,1778028080.7974026,d2a6e8c88c1734cd4c9b85fcde5efa7fdc3a3d8a2ddf9d94d6d166d89aaefa99
1160,5.52198386239442e-16,nan,0.0,nan,1778028080.7984064,1df3436b975d45e323247706fcfd4fb82cfdf53bb1e3798ca80d039e3af0f12f
1170,8.454081793754834e-16,nan,0.0,nan,1778028080.7994065,a1372b482c669492e73d200c09bdf3ad5a0ca2d8e4876e0382dba5a1772bb6b0
1180,5.831974447653091e-16,nan,0.0,nan,1778028080.8004022,3ba3d9efbd43078b71295b074e0fc96e275ff1ae7b41bd7618ef24e0b4544580
1190,3.413537834289895e-16,nan,0.0,nan,1778028080.8014023,3190d2cb670056b46e9cb8ff47c062fb29dac52dcdedb35ef22f93ce1ccd7815
1200,5.810471242486587e-16,nan,0.0,nan,1778028080.8024018,9ac36e9604e310a09fc151bb124751ec3c30ccaddf581b2469eeaa2d7ca72769
1210,5.977537216390317e-16,nan,0.0,nan,1778028080.8024018,4a446113d116aa5c17ca762350306ab07bce3c723bc09ea62c19b6ecaa2c923d
1220,2.806611450978446e-16,nan,0.0,nan,1778028080.804098,6d9a8e1df3cbd6f66884f4747c1361ef4f304de5102c12badd341453b81d481d
1230,4.091630760354216e-16,nan,0.0,nan,1778028080.804098,2cf26962b655be96fd7db200783451e8aa0ed3301407ec9ee5b64ac3dbb33c5c
1240,3.7451011243900564e-16,nan,0.0,nan,1778028080.8051066,5dffbb667ae95fa778b16d412d7f357359653f3cfbe8db3fb2638a098ea07456
1250,3.9722027727908357e-16,nan,0.0,nan,1778028080.8061106,5ec6e0a3000d9ba0525350b8fcdd733d46553456e0cc00c2083b42abf4550ec5
1260,9.700816127606417e-16,nan,0.0,nan,1778028080.807111,87785908f020d5b9dbe1b0ffb92692966d27339e8dc24e68243ac1a543927588
1270,3.729621620272063e-16,nan,0.0,nan,1778028080.807111,fb54e286ac7ad7626bb88eb64937bfca85223f01e1e53e5fbf99b841c38ab7df
1280,5.240601815674128e-16,nan,0.0,nan,1778028080.8081064,99aa4999a78a38401944eb1e2980e0f516b9ef0bc0121c61d834c14dfb9b1ccc
1290,7.201765534530849e-16,nan,0.0,nan,1778028080.8091106,4cdd096ecfd82d22bd6f292b1f660ba389e880adde21936fc0b5c7001e3dc0cf
1300,3.391553377384881e-16,nan,0.0,nan,1778028080.8101072,e1c7efab8ec17f321d3e7c0a1f43c662af413b97454cca1844869e71f233fb1a
1310,1.0672596910748736e-15,nan,0.0,nan,1778028080.8111103,ff45bf5f11758aaf9edc200d840a3ce2711d64cda97364e58a56a5540664ea55
1320,4.3333413215361613e-16,nan,0.0,nan,1778028080.8121107,cfb75179b31685ddb57ff2d51cf6ae87c0d93f8bdf3c8f07994c14b530b01e4d
1330,2.359230755268779e-16,nan,0.0,nan,1778028080.8121107,d9ff38a8bc5334f9df4149d34b7ddeb5cb53e4a7a534d98ec991ea3291acd86d
1340,1.2829276368901908e-15,nan,0.0,nan,1778028080.8131104,6495b96e9dc7afe37589140e69b24dd16d067e72ac9f28627b32bbada7104eff
1350,7.122431404275652e-16,nan,0.0,nan,1778028080.8141105,579c5410d581593cfaf705d5dbb3353cdad63ff96782bed4c31df6d3e9768818
1360,3.118661364545419e-16,nan,0.0,nan,1778028080.8141105,0ad0b2fd77a129dab82ae093413f79b115b83a4916e227171e830526c70f7c11
1370,2.391717818485495e-16,nan,0.0,nan,1778028080.8151102,bd909f070af7c3fbb36c8be2dc93817474250d826001c0f5f4e8d53ffaa9c84d
1380,4.712329195275577e-16,nan,0.0,nan,1778028080.8161104,5e044c3dbd067ee10a5726899501caccf65ebcaeace7cabadc17fa56f7ddc42c
1390,4.046103106497173e-16,nan,0.0,nan,1778028080.8161104,52f39f79afaf1ad297106e55c2668093b931badee03ac6909934062d8ae24652
1400,1.846356090264271e-16,nan,0.0,nan,1778028080.8171232,a4c04a55a48d4bd5b60c6626f31386e8adea9219d9ef6b1f97ce28dc453988fa
1410,4.2841703217504577e-16,nan,0.0,nan,1778028080.81811,4d58207d6b469a56903e1d20358228a33603da8e5090e4e7ecf98b70266f4e36
1420,8.745524681947889e-16,nan,0.0,nan,1778028080.81811,f3fbd5a7f8411eb5e83138339d080fd012005467d193ab92ac78803631cb4640
1430,9.972723146115739e-16,nan,0.0,nan,1778028080.8191116,6f77b53eb7ce9c7aeb5232928085c014a2f5595dd204b1df176c56f5969baeb2
1440,5.082476366495893e-16,nan,0.0,nan,1778028080.8201065,4ad9aa99f22cf61602cf358245d9b6ce6495904a18e594f928a9e394847c4056
1450,7.585007936724713e-16,nan,0.0,nan,1778028080.8201065,04d5b50fc5144379e6b13a6429af6eeb2f383b347d194bb9c546520ac7acac05
1460,3.0821614065938034e-16,nan,0.0,nan,1778028080.8211102,f4716b51f463e7d5d726143937de87fd666ece494d8ec3e5f120ea52d2c3c0cd
1470,3.39084770756692e-16,nan,0.0,nan,1778028080.8221107,3715e56e87cd8f0240b89b2fbabd6f151ef764912da83787a77729c3995cc578
1480,4.947582316660891e-16,nan,0.0,nan,1778028080.8231099,6b5d2724434927eb698454cff598da250ac20d34076ad5ee542d78f52e086e03
1490,3.308186424802923e-16,nan,0.0,nan,1778028080.8231099,85da519ecab2eb23ff549cd75b52a7f195ad16175036264fa42a60de7cfa1194
1500,8.204657197346261e-16,nan,0.0,nan,1778028080.8241053,c844462c35490ddff49851f6ce00021a780d7bc238ee309e83076c7a2acba010
1510,9.80058177813419e-16,nan,0.0,nan,1778028080.825105,a2d9a5e3aa659157ba0501b5a3f532b22ed2ddd446553c25c897e313cbe61c8a
1520,7.590085353758278e-16,nan,0.0,nan,1778028080.825105,40d8a6b8be7c0ec63e03fbe991b46ca5c35affaad4ecebb45e44a5a8647e7c74
1530,5.174499761815129e-16,nan,0.0,nan,1778028080.826105,8b8a2189aa86a5e50192fee688705d29e5d8fee639d7176969e523b5477f4302
1540,6.294155823191677e-16,nan,0.0,nan,1778028080.8271108,117e35a37e4187ec647192426d31caec7232c8bc1676338a4bf8b6bd6a9d4563
1550,7.295086298625832e-16,nan,0.0,nan,1778028080.8271108,3a5103d841b988b93053e72c4089bcefca2fa80fbc57f98229608fdd4715aaf4
1560,2.979693026617635e-16,nan,0.0,nan,1778028080.8281052,db87cc7de64a79b4d48711983fd95ead32f6b00ed01d751019e8af90c5eff9ee
1570,4.022765569691698e-16,nan,0.0,nan,1778028080.8291051,d99b3e4347a29b02ab2c5f64fb594bdb8bee95be72f4beac28efc695343a83f1
1580,1.3827011016719575e-16,nan,0.0,nan,1778028080.8291051,d0db27727de9894ebd71617793ca505492978a7c95bd7e857d0f178612da0b2c
1590,4.0775265929290067e-16,nan,0.0,nan,1778028080.830105,e79c3783cca9d02816ab5d30d25d9f6e76a8a5c8ae394c6764fcfa2fcd1e3d2f
1600,4.357753396539117e-16,nan,0.0,nan,1778028080.8311055,bfbbe15d339c01247112c92a7a1d7ccb395de8f5707c4b646eef06b0833ca480
1610,8.878538002930237e-16,nan,0.0,nan,1778028080.8311055,528560296c018b7e25e23289fc23a6dcb44276072d8c22f40aaaa5790e41bce4
1620,2.850883768989582e-16,nan,0.0,nan,1778028080.8321118,681d300b858dd8b8eec434a9489ee39b7f19856e9ff8835d3be8a805441f254e
1630,5.437652314109912e-16,nan,0.0,nan,1778028080.8331125,49aeb26e9282d8c4cee5bef647deadcb8df27833b2df73ad475f25b4df9f43b0
1640,3.6222138744412695e-16,nan,0.0,nan,1778028080.8331125,ed44fee95439c5daa17f37390578cf16b9933ad3d8297aef89722a357ce8c636
1650,3.775811559013219e-16,nan,0.0,nan,1778028080.834118,4bf44585a916af768752c447e46009f7038808ed7108f99262d53dc2e3ab9041
1660,4.419154970095625e-16,nan,0.0,nan,1778028080.835123,71f30a9ef58a424d33bc5ad964d2c778884891a445ff5b34bbfa43310b529ebe
